trigram,frequency
судей доверие ним,1
профессионализм судей доверие,1
должен профессионализм судей,1
безусловным должен профессионализм,1
подчеркну безусловным должен,1
суды подчеркну безусловным,1
верховный суды подчеркну,1
иных случаях предусмотренных,1
случаях предусмотренных федеральным,1
предусмотренных федеральным конституционным,1
федеральным конституционным законом,1
акты органов государственной,1
нормативноправовые акты органов,1
иные нормативноправовые акты,1
законы иные нормативноправовые,1
конституции законы иные,1
соответствие конституции законы,1
оценивать соответствие конституции,1
суда оценивать соответствие,1
конституционного суда оценивать,1
полномочий конституционного суда,1
распространении полномочий конституционного,1
подумать распространении полномочий,1
государства подумать распространении,1
главой государства подумать,1
подписания главой государства,1
собранием подписания главой,1
федеральным собранием подписания,1
органов государственной власти,1
государственной власти федерального,1
власти федерального регионального,1
ограничивают круг дискуссий,1
уверен свои идеи,1
конституции уверен свои,1
поправок конституции уверен,1
возможных поправок конституции,1
вокруг возможных поправок,1
дискуссий вокруг возможных,1
круг дискуссий вокруг,1
конечно ограничивают круг,1
федерального регионального уровня,1
предложения конечно ограничивают,1
прозвучавшие предложения конечно,1
подчеркну прозвучавшие предложения,1
коллеги подчеркну прозвучавшие,1
уважаемые коллеги подчеркну,1
уровня уважаемые коллеги,1
регионального уровня уважаемые,1
принятых федеральным собранием,1
законопроектов принятых федеральным,1
конституционность законопроектов принятых,1
это предложение делается,1
хватает кроме того,1
явно хватает кроме,1
практики явно хватает,1
сложившейся практики явно,1
исходя сложившейся практики,1
делается исходя сложившейся,1
предложение делается исходя,1
судьи это предложение,1
того повышения качества,1
статуса судьи это,1
лицом статуса судьи,1
сохранения лицом статуса,1
невозможности сохранения лицом,1
свидетельствующих невозможности сохранения,1
законом свидетельствующих невозможности,1
конституционным законом свидетельствующих,1
кроме того повышения,1
повышения качества отечественного,1
проверять конституционность законопроектов,1
роль конституционного суда,1
президента проверять конституционность,1
запросам президента проверять,1
возможностью запросам президента,1
наделить возможностью запросам,1
именно наделить возможностью,1
суда именно наделить,1
конституционного суда именно,1
усилить роль конституционного,1
качества отечественного законодательства,1
предлагаю усилить роль,1
граждан предлагаю усилить,1
интересов граждан предлагаю,1
защиты интересов граждан,1
надежной защиты интересов,1
законодательства надежной защиты,1
отечественного законодательства надежной,1
коллеги давайте руководствоваться,1
проживали уважаемые коллеги,1
идеи выскажут общественные,1
прямое руководство вооруженными,1
шестое предлагаю предусмотреть,1
связи шестое предлагаю,1
власти связи шестое,1
ветвями власти связи,1
баланса ветвями власти,1
большего баланса ветвями,1
обеспечения большего баланса,1
шаг обеспечения большего,1
сделать шаг обеспечения,1
необходимым сделать шаг,1
считаю необходимым сделать,1
случае считаю необходимым,1
системой случае считаю,1
правоохранительной системой случае,1
всей правоохранительной системой,1
силами всей правоохранительной,1
вооруженными силами всей,1
предлагаю предусмотреть назначение,1
предусмотреть назначение руководителей,1
назначение руководителей называемых,1
подход сделает работу,1
большей степени подотчетной,1
прозрачной большей степени,1
органов прозрачной большей,1
правоохранительных органов прозрачной,1
силовых правоохранительных органов,1
работу силовых правоохранительных,1
сделает работу силовых,1
считаю подход сделает,1
руководителей называемых силовых,1
федерации считаю подход,1
советом федерации считаю,1
проводить итогам консультаций,1
президент проводить итогам,1
ведомств президент проводить,1
силовых ведомств президент,1
называемых силовых ведомств,1
руководство вооруженными силами,1
оставаться прямое руководство,1
субъекте проживали уважаемые,1
должно оставаться прямое,1
задачи приоритеты деятельности,1
определять задачи приоритеты,1
право определять задачи,1
сохраняться право определять,1
должно сохраняться право,1
безусловно должно сохраняться,1
президентом безусловно должно,1
поэтому президентом безусловно,1
республикой поэтому президентом,1
президентской республикой поэтому,1
сильной президентской республикой,1
оставаться сильной президентской,1
должна оставаться сильной,1
россия должна оставаться,1
республики россия должна,1
парламентской республики россия,1
форме парламентской республики,1
приоритеты деятельности правительства,1
деятельности правительства право,1
правительства право отстранять,1
ненадлежащего исполнения обязанностей,1
президентом должно оставаться,1
также президентом должно,1
доверия также президентом,1
утратой доверия также,1
связи утратой доверия,1
обязанностей связи утратой,1
исполнения обязанностей связи,1
случае ненадлежащего исполнения,1
право отстранять должности,1
министров случае ненадлежащего,1
федеральных министров случае,1
замов федеральных министров,1
правительства замов федеральных,1
председателя правительства замов,1
должности председателя правительства,1
отстранять должности председателя,1
степени подотчетной обществу,1
подотчетной обществу принцип,1
обществу принцип назначения,1
принцип назначения итогам,1
власть следящая исполнением,1
верховная власть следящая,1
сквозная верховная власть,1
это сквозная верховная,1
прокурор это сквозная,1
значит прокурор это,1
регионе значит прокурор,1
другом регионе значит,1
одном другом регионе,1
законности одном другом,1
доморощенной законности одном,1
своей доморощенной законности,1
какойто своей доморощенной,1
регионов какойто своей,1
палатой регионов какойто,1
является палатой регионов,1
который является палатой,1
следящая исполнением этих,1
исполнением этих законов,1
этих законов вне,1
независимость прокуратуры местных,1
каком субъекте проживали,1
граждан каком субъекте,1
интересах граждан каком,1
безусловно интересах граждан,1
властей безусловно интересах,1
местных властей безусловно,1
прокуратуры местных властей,1
большая независимость прокуратуры,1
законов вне зависимости,1
убежден большая независимость,1
характера убежден большая,1
регионального характера убежден,1
обстоятельств регионального характера,1
каких обстоятельств регионального,1
зависимости каких обстоятельств,1
вне зависимости каких,1
федерации который является,1
совете федерации который,1
консультаций совете федерации,1
согласованию региональным законодательным,1
практике приводить определенным,1
это практике приводить,1
коллеги это практике,1
уважаемые коллеги это,1
собранием уважаемые коллеги,1
законодательным собранием уважаемые,1
региональным законодательным собранием,1
назначаются согласованию региональным,1
определенным числе неформальным,1
регионов назначаются согласованию,1
прокуроров регионов назначаются,1
отношении прокуроров регионов,1
применен отношении прокуроров,1
федерации применен отношении,1
советом федерации применен,1
назначения итогам консультаций,1
приводить определенным числе,1
числе неформальным обязательствам,1
ходе консультаций совете,1
касается позиции территорий,1
учтена ходе консультаций,1
федерации учтена ходе,1
субъектах федерации учтена,1
прокурора субъектах федерации,1
кандидатуре прокурора субъектах,1
территорий кандидатуре прокурора,1
позиции территорий кандидатуре,1
беспристрастность касается позиции,1
неформальным обязательствам местными,1
объективность беспристрастность касается,1
потерять объективность беспристрастность,1
рискам потерять объективность,1
значит рискам потерять,1
властями значит рискам,1
местными властями значит,1
обязательствам местными властями,1
свои идеи выскажут,1
выскажут общественные объединения,1
котором высшей ценностью,1
результатам принимать окончательное,1
решают люди сегодня,1
счете решают люди,1
конечном счете решают,1
определяющим конечном счете,1
должно определяющим конечном,1
власти должно определяющим,1
источника власти должно,1
главного источника власти,1
суверенитета главного источника,1
носителя суверенитета главного,1
народа носителя суверенитета,1
граждан народа носителя,1
наших граждан народа,1
людей наших граждан,1
мнение людей наших,1
решение мнение людей,1
окончательное решение мнение,1
люди сегодня будущем,1
сегодня будущем выборе,1
будущем выборе стратегии,1
городе поселке сильную,1
построить основе безусловного,1
сможем построить основе,1
россию сможем построить,1
современную россию сможем,1
благополучную современную россию,1
сильную благополучную современную,1
поселке сильную благополучную,1
регионе городе поселке,1
выборе стратегии развития,1
каждом регионе городе,1
жизни каждом регионе,1
вопросах жизни каждом,1
повседневных вопросах жизни,1
страны повседневных вопросах,1
развития страны повседневных,1
стратегии развития страны,1
принимать окончательное решение,1
федерации результатам принимать,1
конституции значит могут,1
российской федерации результатам,1
новации касаются существенных,1
предложенные новации касаются,1
учитывая предложенные новации,1
тем учитывая предложенные,1
вместе тем учитывая,1
законов вместе тем,1
конституционных законов вместе,1
соответствующих конституционных законов,1
принятие соответствующих конституционных,1
закона принятие соответствующих,1
действующего закона принятие,1
процедуры действующего закона,1
действующей процедуры действующего,1
рамках действующей процедуры,1
парламентом рамках действующей,1
утверждены парламентом рамках,1
могут утверждены парламентом,1
касаются существенных изменений,1
существенных изменений политической,1
изменений политической системы,1
провести голосование граждан,1
поправок конституции российской,1
предложенных поправок конституции,1
пакету предложенных поправок,1
всему пакету предложенных,1
страны всему пакету,1
граждан страны всему,1
голосование граждан страны,1
необходимым провести голосование,1
политической системы деятельности,1
считаю необходимым провести,1
власти считаю необходимым,1
судебной власти считаю,1
законодательной судебной власти,1
исполнительной законодательной судебной,1
деятельности исполнительной законодательной,1
системы деятельности исполнительной,1
основе безусловного уважения,1
безусловного уважения мнению,1
уважения мнению людей,1
мнению людей мнению,1
смелых планов наш,1
самых смелых планов,1
достижению самых смелых,1
развитию достижению самых,1
созиданию развитию достижению,1
воля созиданию развитию,1
добрая воля созиданию,1
наша добрая воля,1
определяет наша добрая,1
успех определяет наша,1
верю успех определяет,1
страны верю успех,1
нашей страны верю,1
граждан нашей страны,1
находится граждан нашей,1
зале находится граждан,1
тех зале находится,1
планов наш труд,1
наш труд имя,1
труд имя своей,1
величия россии ради,1
москва кремль января,1
внимание москва кремль,1
благодарю внимание москва,1
граждан благодарю внимание,1
достоинства граждан благодарю,1
ради достоинства граждан,1
россии ради достоинства,1
ради величия россии,1
имя своей семьи,1
значит ради величия,1
будущего значит ради,1
детей будущего значит,1
близких детей будущего,1
своих близких детей,1
семьи своих близких,1
своей семьи своих,1
зале тех зале,1
находится зале тех,1
тех находится зале,1
переход третьему десятилетию,1
прорывные исторические задачи,1
стоят прорывные исторические,1
россией стоят прорывные,1
века россией стоят,1
xxi века россией,1
десятилетию xxi века,1
третьему десятилетию xxi,1
это переход третьему,1
задачи решении значим,1
рубежный это переход,1
многом рубежный это,1
год многом рубежный,1
наступивший год многом,1
народа наступивший год,1
мнению народа наступивший,1
людей мнению народа,1
исторические задачи решении,1
решении значим вклад,1
виду тех находится,1
говорю это слово,1
имею виду тех,1
мы имею виду,1
это мы имею,1
россия это мы,1
вместе россия это,1
слово вместе россия,1
это слово вместе,1
часто говорю это,1
значим вклад каждого,1
лучшему часто говорю,1
изменим лучшему часто,1
обязательно изменим лучшему,1
сообща обязательно изменим,1
вместе сообща обязательно,1
каждого вместе сообща,1
вклад каждого вместе,1
значит могут утверждены,1
основ конституции значит,1
общественные объединения партии,1
сохранился колоссальный потенциал,1
задумывался жаль подумать,1
раньше задумывался жаль,1
никто раньше задумывался,1
которых никто раньше,1
масштаба которых никто,1
такого масштаба которых,1
угрозы такого масштаба,1
причем угрозы такого,1
угрозы причем угрозы,1
возникли угрозы причем,1
далее возникли угрозы,1
культурноисторический далее возникли,1
территориальный культурноисторический далее,1
ресурсный территориальный культурноисторический,1
интеллектуальный ресурсный территориальный,1
человеческий интеллектуальный ресурсный,1
потенциал человеческий интеллектуальный,1
жаль подумать свое,1
подумать свое время,1
свое время поэтому,1
прямо противоположные задачи,1
могут первый взгляд,1
которые могут первый,1
ценности которые могут,1
ориентиром ценности которые,1
служат ориентиром ценности,1
задачи служат ориентиром,1
противоположные задачи служат,1
бы прямо противоположные,1
время поэтому дальнейшем,1
казалось бы прямо,1
стоят казалось бы,1
нами стоят казалось,1
строительстве нами стоят,1
государственном строительстве нами,1
дальнейшем государственном строительстве,1
поэтому дальнейшем государственном,1
колоссальный потенциал человеческий,1
конечно сохранился колоссальный,1
фундаментальных основ конституции,1
этом конечно сохранился,1
придать определенное направление,1
хотел придать определенное,1
дискуссию хотел придать,1
открывая дискуссию хотел,1
но открывая дискуссию,1
обсуждение но открывая,1
публичное обсуждение но,1
широкое публичное обсуждение,1
самое широкое публичное,1
необходимо самое широкое,1
страны необходимо самое,1
граждане страны необходимо,1
сообщество граждане страны,1
юридическое сообщество граждане,1
регионы юридическое сообщество,1
партии регионы юридическое,1
объединения партии регионы,1
определенное направление минимум,1
направление минимум показать,1
минимум показать какими,1
страной года распада,1
амбиции этом конечно,1
прежние амбиции этом,1
остались прежние амбиции,1
союза остались прежние,1
советского союза остались,1
распада советского союза,1
года распада советского,1
нашей страной года,1
показать какими вызовами,1
стало нашей страной,1
коллеги стало нашей,1
уважаемые коллеги стало,1
забывать уважаемые коллеги,1
стоим забывать уважаемые,1
вызовами стоим забывать,1
какими вызовами стоим,1
первый взгляд представляться,1
взгляд представляться несовместимыми,1
представляться несовместимыми имею,1
несовместимыми имею виду,1
общества пусть безошибочного,1
эволюции общества пусть,1
прогрессивной эволюции общества,1
условие прогрессивной эволюции,1
неотъемлемое условие прогрессивной,1
обновление неотъемлемое условие,1
такое обновление неотъемлемое,1
сферах такое обновление,1
других сферах такое,1
положение других сферах,1
высокое положение других,1
занимает высокое положение,1
власти занимает высокое,1
находится власти занимает,1
тех находится власти,1
сменяемость тех находится,1
числе сменяемость тех,1
пусть безошибочного стабильного,1
безошибочного стабильного развития,1
стабильного развития незыблемым,1
особо подчеркнуть поправки,1
затрагивают фундаментальных основ,1
обсуждать затрагивают фундаментальных,1
предстоит обсуждать затрагивают,1
нам предстоит обсуждать,1
которые нам предстоит,1
поправки которые нам,1
подчеркнуть поправки которые,1
хотел особо подчеркнуть,1
развития незыблемым остается,1
принципиальным хотел особо,1
считаю принципиальным хотел,1
россии считаю принципиальным,1
интересы россии считаю,1
главное интересы россии,1
остается главное интересы,1
незыблемым остается главное,1
обеспечивающую числе сменяемость,1
систему обеспечивающую числе,1
общества систему обеспечивающую,1
внешнему контуру абсолютно,1
независимость суверенитет время,1
россии независимость суверенитет,1
гарантирующую россии независимость,1
безусловно гарантирующую россии,1
стабильную безусловно гарантирующую,1
абсолютно стабильную безусловно,1
контуру абсолютно стабильную,1
неуязвимую внешнему контуру,1
время систему внутри,1
надежную неуязвимую внешнему,1
прочную надежную неуязвимую,1
систему прочную надежную,1
создать систему прочную,1
должны создать систему,1
виду должны создать,1
имею виду должны,1
суверенитет время систему,1
систему внутри живую,1
российского общества систему,1
происходит мире вокруг,1
самого российского общества,1
развитием самого российского,1
связи развитием самого,1
главное связи развитием,1
нас главное связи,1
вокруг нас главное,1
мире вокруг нас,1
тем происходит мире,1
внутри живую гибкую,1
связи тем происходит,1
меняющуюся связи тем,1
главное меняющуюся связи,1
своевременно главное меняющуюся,1
легко своевременно главное,1
гибкую легко своевременно,1
живую гибкую легко,1
стабильно форме парламентской,1
существовать стабильно форме,1
просто существовать стабильно,1
также отсутствии иностранного,1
конституционное положение том,1
обсуждается конституционное положение,1
обществе обсуждается конституционное,1
нашем обществе обсуждается,1
также нашем обществе,1
знаю также нашем,1
ранее знаю также,1
выборах ранее знаю,1
участия выборах ранее,1
момент участия выборах,1
причем момент участия,1
государстве причем момент,1
другом государстве причем,1
жительство другом государстве,1
вида жительство другом,1
гражданства вида жительство,1
иностранного гражданства вида,1
положение том одно,1
том одно лицо,1
одно лицо должно,1
вопрос принципиальный согласен,1
обеспечить высокие стандарты,1
задача обеспечить высокие,1
наша задача обеспечить,1
говорил наша задача,1
этим говорил наша,1
согласен этим говорил,1
принципиальный согласен этим,1
считаю вопрос принципиальный,1
лицо должно занимать,1
подряд считаю вопрос,1
сроков подряд считаю,1
двух сроков подряд,1
федерации двух сроков,1
российской федерации двух,1
занимать должность президента,1
должно занимать должность,1
отсутствии иностранного гражданства,1
лет также отсутствии,1
государства смысл миссия,1
менее лет также,1
народом никак иначе,1
нашим народом никак,1
россией нашим народом,1
связывает россией нашим,1
решить связывает россией,1
всего решить связывает,1
прежде всего решить,1
должен прежде всего,1
путь должен прежде,1
выбирает путь должен,1
который выбирает путь,1
человек который выбирает,1
служении человек который,1
именно служении человек,1
службы именно служении,1
государственной службы именно,1
миссия государственной службы,1
никак иначе всяких,1
иначе всяких полутонов,1
всяких полутонов допущений,1
федерации предлагаю закрепить,1
россии менее лет,1
территории россии менее,1
проживании территории россии,1
постоянном проживании территории,1
требование постоянном проживании,1
закрепить требование постоянном,1
предлагаю закрепить требование,1
российской федерации предлагаю,1
полутонов допущений жесткие,1
претендующим должность президента,1
лицам претендующим должность,1
предъявляться лицам претендующим,1
должны предъявляться лицам,1
требования должны предъявляться,1
жесткие требования должны,1
допущений жесткие требования,1
высокие стандарты жизни,1
стандарты жизни равные,1
жизни равные возможности,1
равные возможности каждого,1
человеку несет прямую,1
отношению человеку несет,1
несправедливо отношению человеку,1
это несправедливо отношению,1
поразному это несправедливо,1
обеспечиваются поразному это,1
муниципалитетах обеспечиваются поразному,1
регионах муниципалитетах обеспечиваются,1
разных регионах муниципалитетах,1
гарантии разных регионах,1
возможности гарантии разных,1
права возможности гарантии,1
граждан права возможности,1
общие граждан права,1
законодательством общие граждан,1
предусмотренные законодательством общие,1
людях предусмотренные законодательством,1
несет прямую угрозу,1
прямую угрозу нашему,1
угрозу нашему обществу,1
единой системы публичной,1
государственными муниципальными органами,1
взаимодействие государственными муниципальными,1
эффективное взаимодействие государственными,1
выстроить эффективное взаимодействие,1
власти выстроить эффективное,1
публичной власти выстроить,1
системы публичной власти,1
принципы единой системы,1
нашему обществу целостности,1
конституции принципы единой,1
закрепить конституции принципы,1
необходимым закрепить конституции,1
считаю необходимым закрепить,1
страны считаю необходимым,1
целостности страны считаю,1
обществу целостности страны,1
сказывается людях предусмотренные,1
отрицательно сказывается людях,1
всего отрицательно сказывается,1
цели направлены национальные,1
вместе тем знаете,1
развития вместе тем,1
планы развития вместе,1
наши планы развития,1
проекты наши планы,1
национальные проекты наши,1
направлены национальные проекты,1
достижение цели направлены,1
знаете каким проблемам,1
именно достижение цели,1
страны именно достижение,1
территории страны именно,1
причем всей территории,1
человека причем всей,1
каждого человека причем,1
возможности каждого человека,1
тем знаете каким,1
каким проблемам образовании,1
прежде всего отрицательно,1
государственным муниципальным уровнями,1
полномочий прежде всего,1
запутанность полномочий прежде,1
разделенность запутанность полномочий,1
такая разделенность запутанность,1
власти такая разделенность,1
уровнями власти такая,1
муниципальным уровнями власти,1
говорил государственным муниципальным,1
проблемам образовании здравоохранении,1
я говорил государственным,1
разрыв я говорил,1
приводит разрыв я,1
сферах приводит разрыв,1
других сферах приводит,1
здравоохранении других сферах,1
образовании здравоохранении других,1
смысл миссия государственной,1
другого государства смысл,1
больше просто существовать,1
политику страна мнением,1
национальную экономику любых,1
граждан национальную экономику,1
права граждан национальную,1
социальные права граждан,1
защитить социальные права,1
способность защитить социальные,1
государства способность защитить,1
нашего государства способность,1
устойчивость нашего государства,1
повышает устойчивость нашего,1
кратно повышает устойчивость,1
резервы кратно повышает,1
мощные резервы кратно,1
создали мощные резервы,1
считаться создали мощные,1
которой считаться создали,1
мнением которой считаться,1
экономику любых попыток,1
любых попыток внешнего,1
попыток внешнего давления,1
страны некоторые изменения,1
конституции россии нашем,1
приоритет конституции россии,1
гарантируют приоритет конституции,1
прямо гарантируют приоритет,1
которые прямо гарантируют,1
изменения которые прямо,1
некоторые изменения которые,1
закон страны некоторые,1
внешнего давления действительно,1
основной закон страны,1
внести основной закон,1
время внести основной,1
пришло время внести,1
считаю пришло время,1
действительно считаю пришло,1
давления действительно считаю,1
страна мнением которой,1
международную политику страна,1
территории другого государства,1
вернулась международную политику,1
нашего народа должен,1
суверенитет нашего народа,1
государство суверенитет нашего,1
суверенное государство суверенитет,1
россией суверенное государство,1
принципиально отличается той,1
россия оставаться россией,1
первое россия оставаться,1
благополучие первое россия,1
человека благополучие первое,1
достоинство человека благополучие,1
граждан достоинство человека,1
права граждан достоинство,1
свободы права граждан,1
являются свободы права,1
ценностью являются свободы,1
высшей ценностью являются,1
народа должен безусловным,1
должен безусловным многое,1
безусловным многое сделали,1
государственные властные функции,1
россия вернулась международную,1
кланами россия вернулась,1
олигархическими кланами россия,1
фактически олигархическими кланами,1
узурпированы фактически олигархическими,1
функции узурпированы фактически,1
властные функции узурпированы,1
некоторые государственные властные,1
многое сделали этого,1
ситуацией некоторые государственные,1
покончили ситуацией некоторые,1
страны покончили ситуацией,1
единство страны покончили,1
восстановили единство страны,1
этого восстановили единство,1
сделали этого восстановили,1
россии нашем правовом,1
нашем правовом пространстве,1
правовом пространстве это,1
пространстве это означает,1
федеральные министры руководители,1
заместители федеральные министры,1
правительства заместители федеральные,1
председатель правительства заместители,1
думы председатель правительства,1
государственной думы председатель,1
федерации члены совета,1
субъектов федерации члены,1
именно главы субъектов,1
страны именно главы,1
суверенитета страны именно,1
безопасности суверенитета страны,1
обеспечения безопасности суверенитета,1
важные обеспечения безопасности,1
критически важные обеспечения,1
должности критически важные,1
занимают должности критически,1
