Index;File1_Sentences;File2_Sentences;File1_Frequency;File2_Frequency
67;Посчитайте, сколько это всё вместе будет?;Работа над целым рядом других перспективных систем вооружений продолжается, и о новых достижениях наших учёных и оружейников мы ещё узнаем.;Counter({'посчитайте': 1, 'сколько': 1, 'это': 1, 'всё': 1, 'вместе': 1, 'будет': 1});Counter({'и': 2, 'работа': 1, 'над': 1, 'целым': 1, 'рядом': 1, 'других': 1, 'перспективных': 1, 'систем': 1, 'вооружений': 1, 'продолжается': 1, 'о': 1, 'новых': 1, 'достижениях': 1, 'наших': 1, 'учёных': 1, 'оружейников': 1, 'мы': 1, 'ещё': 1, 'узнаем': 1})
68;Это 32,5 - 33,5 млрд.;Россия готова к диалогу с Соединёнными Штатами Америки по вопросам стратегической стабильности.;Counter({'это': 1, 'млрд': 1});Counter({'россия': 1, 'готова': 1, 'к': 1, 'диалогу': 1, 'с': 1, 'соединёнными': 1, 'штатами': 1, 'америки': 1, 'по': 1, 'вопросам': 1, 'стратегической': 1, 'стабильности': 1})
69;долларов только за последнее время.;Но вот что хотел бы подчеркнуть, уважаемые коллеги, чтобы меня все правильно поняли: в данном случае мы имеем дело с государством, чьи правящие круги предпринимают против нас открытые враждебные действия.;Counter({'долларов': 1, 'только': 1, 'за': 1, 'последнее': 1, 'время': 1});Counter({'но': 1, 'вот': 1, 'что': 1, 'хотел': 1, 'бы': 1, 'подчеркнуть': 1, 'уважаемые': 1, 'коллеги': 1, 'чтобы': 1, 'меня': 1, 'все': 1, 'правильно': 1, 'поняли': 1, 'в': 1, 'данном': 1, 'случае': 1, 'мы': 1, 'имеем': 1, 'дело': 1, 'с': 1, 'государством': 1, 'чьи': 1, 'правящие': 1, 'круги': 1, 'предпринимают': 1, 'против': 1, 'нас': 1, 'открытые': 1, 'враждебные': 1, 'действия': 1})
70;Конечно, мы вправе задаться вопросом: ради чего вся эта трагедия случилась на Украине?;Ну и что?;Counter({'конечно': 1, 'мы': 1, 'вправе': 1, 'задаться': 1, 'вопросом': 1, 'ради': 1, 'чего': 1, 'вся': 1, 'эта': 1, 'трагедия': 1, 'случилась': 1, 'на': 1, 'украине': 1});Counter({'ну': 1, 'и': 1, 'что': 1})
71;Разве нельзя было уладить вопросы, даже спорные вопросы, в ходе диалога, в рамках правового поля и легитимных процессов?;Они на полном серьёзе собираются обсуждать с нами вопросы стратегической стабильности, одновременно пытаясь нанести России, как они сами говорят, стратегическое поражение на поле боя?;Counter({'вопросы': 2, 'в': 2, 'разве': 1, 'нельзя': 1, 'было': 1, 'уладить': 1, 'даже': 1, 'спорные': 1, 'ходе': 1, 'диалога': 1, 'рамках': 1, 'правового': 1, 'поля': 1, 'и': 1, 'легитимных': 1, 'процессов': 1});Counter({'они': 2, 'на': 2, 'полном': 1, 'серьёзе': 1, 'собираются': 1, 'обсуждать': 1, 'с': 1, 'нами': 1, 'вопросы': 1, 'стратегической': 1, 'стабильности': 1, 'одновременно': 1, 'пытаясь': 1, 'нанести': 1, 'россии': 1, 'как': 1, 'сами': 1, 'говорят': 1, 'стратегическое': 1, 'поражение': 1, 'поле': 1, 'боя': 1})
72;Однако нас сейчас всеми силами пытаются убедить в том, что это и есть грамотная, взвешенная политика, которой мы должны бездумно и слепо подчиняться.;Можно привести наглядный пример такого лицемерия.;Counter({'и': 2, 'однако': 1, 'нас': 1, 'сейчас': 1, 'всеми': 1, 'силами': 1, 'пытаются': 1, 'убедить': 1, 'в': 1, 'том': 1, 'что': 1, 'это': 1, 'есть': 1, 'грамотная': 1, 'взвешенная': 1, 'политика': 1, 'которой': 1, 'мы': 1, 'должны': 1, 'бездумно': 1, 'слепо': 1, 'подчиняться': 1});Counter({'можно': 1, 'привести': 1, 'наглядный': 1, 'пример': 1, 'такого': 1, 'лицемерия': 1})
73;Этого не будет!;В последнее время всё чаще звучат голословные обвинения, например, в адрес России, что мы якобы собираемся разместить ядерное оружие в космосе.;Counter({'этого': 1, 'не': 1, 'будет': 1});Counter({'в': 3, 'последнее': 1, 'время': 1, 'всё': 1, 'чаще': 1, 'звучат': 1, 'голословные': 1, 'обвинения': 1, 'например': 1, 'адрес': 1, 'россии': 1, 'что': 1, 'мы': 1, 'якобы': 1, 'собираемся': 1, 'разместить': 1, 'ядерное': 1, 'оружие': 1, 'космосе': 1})
74;(Аплодисменты.);Подобные вбросы – а это не что иное, как вбросы, – это уловка только для того, чтобы втянуть нас в переговоры на своих условиях, которые выгодны исключительно Соединённым Штатам.;Counter({'аплодисменты': 1});Counter({'вбросы': 2, 'это': 2, 'подобные': 1, 'а': 1, 'не': 1, 'что': 1, 'иное': 1, 'как': 1, 'уловка': 1, 'только': 1, 'для': 1, 'того': 1, 'чтобы': 1, 'втянуть': 1, 'нас': 1, 'в': 1, 'переговоры': 1, 'на': 1, 'своих': 1, 'условиях': 1, 'которые': 1, 'выгодны': 1, 'исключительно': 1, 'соединённым': 1, 'штатам': 1})
75;Если для ряда европейских стран национальная гордость - давно забытое понятие, а суверенитет - слишком большая роскошь, то для России реальный государственный суверенитет - абсолютно необходимое условие её существования!;При этом они блокируют наше предложение, которое лежит у них на столе уже более 15 лет.;Counter({'для': 2, 'суверенитет': 2, 'если': 1, 'ряда': 1, 'европейских': 1, 'стран': 1, 'национальная': 1, 'гордость': 1, 'давно': 1, 'забытое': 1, 'понятие': 1, 'а': 1, 'слишком': 1, 'большая': 1, 'роскошь': 1, 'то': 1, 'россии': 1, 'реальный': 1, 'государственный': 1, 'абсолютно': 1, 'необходимое': 1, 'условие': 1, 'её': 1, 'существования': 1});Counter({'при': 1, 'этом': 1, 'они': 1, 'блокируют': 1, 'наше': 1, 'предложение': 1, 'которое': 1, 'лежит': 1, 'у': 1, 'них': 1, 'на': 1, 'столе': 1, 'уже': 1, 'более': 1, '15': 1, 'лет': 1})
76;Прежде всего это должно быть очевидным для нас самих.;Имею в виду проект договора о предотвращении размещения оружия в космосе, который мы подготовили ещё в 2008 году.;Counter({'прежде': 1, 'всего': 1, 'это': 1, 'должно': 1, 'быть': 1, 'очевидным': 1, 'для': 1, 'нас': 1, 'самих': 1});Counter({'в': 3, 'имею': 1, 'виду': 1, 'проект': 1, 'договора': 1, 'о': 1, 'предотвращении': 1, 'размещения': 1, 'оружия': 1, 'космосе': 1, 'который': 1, 'мы': 1, 'подготовили': 1, 'ещё': 1, '2008': 1, 'году': 1})
77;Я хочу подчеркнуть: или мы будем суверенными, или растворимся, потеряемся в мире.;Реакции-то никакой нет.;Counter({'или': 2, 'я': 1, 'хочу': 1, 'подчеркнуть': 1, 'мы': 1, 'будем': 1, 'суверенными': 1, 'растворимся': 1, 'потеряемся': 1, 'в': 1, 'мире': 1});Counter({'никакой': 1, 'нет': 1})
78;И это, конечно, должны понять другие державы, все участники международной жизни.;О чём они говорят, вообще непонятно.;Counter({'и': 1, 'это': 1, 'конечно': 1, 'должны': 1, 'понять': 1, 'другие': 1, 'державы': 1, 'все': 1, 'участники': 1, 'международной': 1, 'жизни': 1});Counter({'о': 1, 'чём': 1, 'они': 1, 'говорят': 1, 'вообще': 1, 'непонятно': 1})
79;Должны это понять!;Поэтому у нас есть все основания полагать, что слова сегодняшних американских властей о якобы заинтересованности в переговорах с нами по вопросам стратегической стабильности – это демагогия.;Counter({'должны': 1, 'это': 1, 'понять': 1});Counter({'поэтому': 1, 'у': 1, 'нас': 1, 'есть': 1, 'все': 1, 'основания': 1, 'полагать': 1, 'что': 1, 'слова': 1, 'сегодняшних': 1, 'американских': 1, 'властей': 1, 'о': 1, 'якобы': 1, 'заинтересованности': 1, 'в': 1, 'переговорах': 1, 'с': 1, 'нами': 1, 'по': 1, 'вопросам': 1, 'стратегической': 1, 'стабильности': 1, 'это': 1, 'демагогия': 1})
80;И понимая, укреплять роль и значение международного права, о котором мы так много говорим в последнее время, а не подстраивать его нормы под чьи-то конъюнктурные интересы вопреки его основополагающим принципам и здравому смыслу, считая всех вокруг малообразованными людьми, которые не умеют читать и писать.;В преддверии президентских выборов в США они просто хотят показать своим гражданам да и всем остальным, что по-прежнему правят миром.;Counter({'и': 4, 'не': 2, 'его': 2, 'понимая': 1, 'укреплять': 1, 'роль': 1, 'значение': 1, 'международного': 1, 'права': 1, 'о': 1, 'котором': 1, 'мы': 1, 'так': 1, 'много': 1, 'говорим': 1, 'в': 1, 'последнее': 1, 'время': 1, 'а': 1, 'подстраивать': 1, 'нормы': 1, 'под': 1, 'конъюнктурные': 1, 'интересы': 1, 'вопреки': 1, 'основополагающим': 1, 'принципам': 1, 'здравому': 1, 'смыслу': 1, 'считая': 1, 'всех': 1, 'вокруг': 1, 'малообразованными': 1, 'людьми': 1, 'которые': 1, 'умеют': 1, 'читать': 1, 'писать': 1});Counter({'в': 2, 'преддверии': 1, 'президентских': 1, 'выборов': 1, 'сша': 1, 'они': 1, 'просто': 1, 'хотят': 1, 'показать': 1, 'своим': 1, 'гражданам': 1, 'да': 1, 'и': 1, 'всем': 1, 'остальным': 1, 'что': 1, 'правят': 1, 'миром': 1})
81;Надо с уважением относиться к законным интересам всех участников международного общения.;Мол, по тем вопросам, где Америке выгодно договариваться, будем вести с русскими разговор, а где им не выгодно – там и обсуждать нечего, как они сами говорят, business as usual, там они будут стремиться нанести нам поражение.;Counter({'надо': 1, 'с': 1, 'уважением': 1, 'относиться': 1, 'к': 1, 'законным': 1, 'интересам': 1, 'всех': 1, 'участников': 1, 'международного': 1, 'общения': 1});Counter({'где': 2, 'выгодно': 2, 'там': 2, 'они': 2, 'мол': 1, 'по': 1, 'тем': 1, 'вопросам': 1, 'америке': 1, 'договариваться': 1, 'будем': 1, 'вести': 1, 'с': 1, 'русскими': 1, 'разговор': 1, 'а': 1, 'им': 1, 'не': 1, 'и': 1, 'обсуждать': 1, 'нечего': 1, 'как': 1, 'сами': 1, 'говорят': 1, 'business': 1, 'as': 1, 'usual': 1, 'будут': 1, 'стремиться': 1, 'нанести': 1, 'нам': 1, 'поражение': 1})
82;Только тогда не пушки, ракеты или боевые самолёты, а именно нормы права будут надёжно защищать мир от кровопролитных конфликтов.;Но так, безусловно, не пойдёт.;Counter({'только': 1, 'тогда': 1, 'не': 1, 'пушки': 1, 'ракеты': 1, 'или': 1, 'боевые': 1, 'самолёты': 1, 'а': 1, 'именно': 1, 'нормы': 1, 'права': 1, 'будут': 1, 'надёжно': 1, 'защищать': 1, 'мир': 1, 'от': 1, 'кровопролитных': 1, 'конфликтов': 1});Counter({'но': 1, 'так': 1, 'безусловно': 1, 'не': 1, 'пойдёт': 1})
83;И тогда не потребуется пугать кого бы то ни было мнимой изоляцией, обманывая самих себя, или санкциями, которые, конечно, вредны, но вредны для всех, в том числе и для тех, кто их инициирует.;Наша позиция понятна: если хотите обсуждать ответственные, важные для всей планеты вопросы безопасности и стабильности, то необходимо делать это только в едином комплексе, естественно, включая все те аспекты, которые затрагивают наши национальные интересы и прямо влияют на безопасность нашей страны, на безопасность России.;Counter({'и': 2, 'вредны': 2, 'для': 2, 'тогда': 1, 'не': 1, 'потребуется': 1, 'пугать': 1, 'кого': 1, 'бы': 1, 'то': 1, 'ни': 1, 'было': 1, 'мнимой': 1, 'изоляцией': 1, 'обманывая': 1, 'самих': 1, 'себя': 1, 'или': 1, 'санкциями': 1, 'которые': 1, 'конечно': 1, 'но': 1, 'всех': 1, 'в': 1, 'том': 1, 'числе': 1, 'тех': 1, 'кто': 1, 'их': 1, 'инициирует': 1});Counter({'и': 2, 'на': 2, 'безопасность': 2, 'наша': 1, 'позиция': 1, 'понятна': 1, 'если': 1, 'хотите': 1, 'обсуждать': 1, 'ответственные': 1, 'важные': 1, 'для': 1, 'всей': 1, 'планеты': 1, 'вопросы': 1, 'безопасности': 1, 'стабильности': 1, 'то': 1, 'необходимо': 1, 'делать': 1, 'это': 1, 'только': 1, 'в': 1, 'едином': 1, 'комплексе': 1, 'естественно': 1, 'включая': 1, 'все': 1, 'те': 1, 'аспекты': 1, 'которые': 1, 'затрагивают': 1, 'наши': 1, 'национальные': 1, 'интересы': 1, 'прямо': 1, 'влияют': 1, 'нашей': 1, 'страны': 1, 'россии': 1})
84;Кстати, о санкциях.;Мы также понимаем, что Запад пытается втянуть нас в гонку вооружений, тем самым измотать, повторить трюк, который им удался в 80-е годы с Советским Союзом.;Counter({'кстати': 1, 'о': 1, 'санкциях': 1});Counter({'в': 2, 'мы': 1, 'также': 1, 'понимаем': 1, 'что': 1, 'запад': 1, 'пытается': 1, 'втянуть': 1, 'нас': 1, 'гонку': 1, 'вооружений': 1, 'тем': 1, 'самым': 1, 'измотать': 1, 'повторить': 1, 'трюк': 1, 'который': 1, 'им': 1, 'удался': 1, 'годы': 1, 'с': 1, 'советским': 1, 'союзом': 1})
85;Это не просто нервная реакция США или их союзников на нашу позицию в связи с событиями и госпереворотом на Украине.;Напомню: в 1981–1988 годах военные расходы СССР составляли 13 процентов валового национального продукта.;Counter({'на': 2, 'это': 1, 'не': 1, 'просто': 1, 'нервная': 1, 'реакция': 1, 'сша': 1, 'или': 1, 'их': 1, 'союзников': 1, 'нашу': 1, 'позицию': 1, 'в': 1, 'связи': 1, 'с': 1, 'событиями': 1, 'и': 1, 'госпереворотом': 1, 'украине': 1});Counter({'напомню': 1, 'в': 1, 'годах': 1, 'военные': 1, 'расходы': 1, 'ссср': 1, 'составляли': 1, '13': 1, 'процентов': 1, 'валового': 1, 'национального': 1, 'продукта': 1})
86;И даже не в связи с так называемой Крымской весной.;Поэтому наша задача – так развивать оборонно-промышленный комплекс, чтобы нарастить научный, технологический, индустриальный потенциал страны.;Counter({'и': 1, 'даже': 1, 'не': 1, 'в': 1, 'связи': 1, 'с': 1, 'так': 1, 'называемой': 1, 'крымской': 1, 'весной': 1});Counter({'поэтому': 1, 'наша': 1, 'задача': 1, 'так': 1, 'развивать': 1, 'комплекс': 1, 'чтобы': 1, 'нарастить': 1, 'научный': 1, 'технологический': 1, 'индустриальный': 1, 'потенциал': 1, 'страны': 1})
87;Уверен, что если бы всего этого не было (я хочу это подчеркнуть, уважаемые коллеги, особенно для вас, для политиков, для тех, кто в зале сидит сегодня), если бы всего этого не было, то придумали бы какой-нибудь другой повод для того, чтобы сдержать растущие возможности России, повлиять на неё, а ещё лучше - использовать в своих интересах.;Нужно максимально рационально распределить ресурсы и выстроить эффективную экономику Вооружённых Сил, добиваться максимума на каждый рубль оборонных расходов.;Counter({'для': 4, 'бы': 3, 'если': 2, 'всего': 2, 'этого': 2, 'не': 2, 'было': 2, 'в': 2, 'уверен': 1, 'что': 1, 'я': 1, 'хочу': 1, 'это': 1, 'подчеркнуть': 1, 'уважаемые': 1, 'коллеги': 1, 'особенно': 1, 'вас': 1, 'политиков': 1, 'тех': 1, 'кто': 1, 'зале': 1, 'сидит': 1, 'сегодня': 1, 'то': 1, 'придумали': 1, 'другой': 1, 'повод': 1, 'того': 1, 'чтобы': 1, 'сдержать': 1, 'растущие': 1, 'возможности': 1, 'россии': 1, 'повлиять': 1, 'на': 1, 'неё': 1, 'а': 1, 'ещё': 1, 'лучше': 1, 'использовать': 1, 'своих': 1, 'интересах': 1});Counter({'нужно': 1, 'максимально': 1, 'рационально': 1, 'распределить': 1, 'ресурсы': 1, 'и': 1, 'выстроить': 1, 'эффективную': 1, 'экономику': 1, 'вооружённых': 1, 'сил': 1, 'добиваться': 1, 'максимума': 1, 'на': 1, 'каждый': 1, 'рубль': 1, 'оборонных': 1, 'расходов': 1})
88;Политика сдерживания придумана не вчера.;Нам важно увеличить темп в решении социальных, демографических, инфраструктурных и других задач и при этом выйти на качественно новый уровень оснащённости армии и флота.;Counter({'политика': 1, 'сдерживания': 1, 'придумана': 1, 'не': 1, 'вчера': 1});Counter({'и': 3, 'нам': 1, 'важно': 1, 'увеличить': 1, 'темп': 1, 'в': 1, 'решении': 1, 'социальных': 1, 'демографических': 1, 'инфраструктурных': 1, 'других': 1, 'задач': 1, 'при': 1, 'этом': 1, 'выйти': 1, 'на': 1, 'качественно': 1, 'новый': 1, 'уровень': 1, 'оснащённости': 1, 'армии': 1, 'флота': 1})
89;Она проводится в отношении нашей страны многие и многие годы - всегда, можно сказать, десятилетиями, если не столетиями.;В первую очередь это касается сил общего назначения, принципов их организации, поставок в войска беспилотных ударных комплексов, систем ПВО и радиоэлектронной борьбы, разведки и связи, высокоточных и других средств поражения.;Counter({'многие': 2, 'она': 1, 'проводится': 1, 'в': 1, 'отношении': 1, 'нашей': 1, 'страны': 1, 'и': 1, 'годы': 1, 'всегда': 1, 'можно': 1, 'сказать': 1, 'десятилетиями': 1, 'если': 1, 'не': 1, 'столетиями': 1});Counter({'и': 3, 'в': 2, 'первую': 1, 'очередь': 1, 'это': 1, 'касается': 1, 'сил': 1, 'общего': 1, 'назначения': 1, 'принципов': 1, 'их': 1, 'организации': 1, 'поставок': 1, 'войска': 1, 'беспилотных': 1, 'ударных': 1, 'комплексов': 1, 'систем': 1, 'пво': 1, 'радиоэлектронной': 1, 'борьбы': 1, 'разведки': 1, 'связи': 1, 'высокоточных': 1, 'других': 1, 'средств': 1, 'поражения': 1})
90;Словом, всякий раз, когда кто-то считает, что Россия слишком стала сильной, самостоятельной, эти инструменты включаются немедленно.;Серьёзно необходимо укрепить группировки на западном стратегическом направлении, чтобы нейтрализовать угрозы, связанные с очередным расширением НАТО на восток, втягиванием в альянс Швеции и Финляндии.;Counter({'словом': 1, 'всякий': 1, 'раз': 1, 'когда': 1, 'считает': 1, 'что': 1, 'россия': 1, 'слишком': 1, 'стала': 1, 'сильной': 1, 'самостоятельной': 1, 'эти': 1, 'инструменты': 1, 'включаются': 1, 'немедленно': 1});Counter({'на': 2, 'серьёзно': 1, 'необходимо': 1, 'укрепить': 1, 'группировки': 1, 'западном': 1, 'стратегическом': 1, 'направлении': 1, 'чтобы': 1, 'нейтрализовать': 1, 'угрозы': 1, 'связанные': 1, 'с': 1, 'очередным': 1, 'расширением': 1, 'нато': 1, 'восток': 1, 'втягиванием': 1, 'в': 1, 'альянс': 1, 'швеции': 1, 'и': 1, 'финляндии': 1})
91;Однако разговаривать с Россией с позиции силы бессмысленно даже тогда, когда она сталкивается с внутренними трудностями, как это было в 90-х и начале 2000-х годов.;Запад спровоцировал конфликты на Украине, на Ближнем Востоке, в других регионах мира и продолжает лгать.;Counter({'с': 3, 'однако': 1, 'разговаривать': 1, 'россией': 1, 'позиции': 1, 'силы': 1, 'бессмысленно': 1, 'даже': 1, 'тогда': 1, 'когда': 1, 'она': 1, 'сталкивается': 1, 'внутренними': 1, 'трудностями': 1, 'как': 1, 'это': 1, 'было': 1, 'в': 1, 'и': 1, 'начале': 1, 'годов': 1});Counter({'на': 2, 'запад': 1, 'спровоцировал': 1, 'конфликты': 1, 'украине': 1, 'ближнем': 1, 'востоке': 1, 'в': 1, 'других': 1, 'регионах': 1, 'мира': 1, 'и': 1, 'продолжает': 1, 'лгать': 1})
92;Мы хорошо помним, кто и как в тот период практически в открытую поддерживал у нас сепаратизм и даже прямой террор.;Теперь вот без всякого смущения заявляют, что Россия якобы намеревается напасть на Европу.;Counter({'и': 2, 'в': 2, 'мы': 1, 'хорошо': 1, 'помним': 1, 'кто': 1, 'как': 1, 'тот': 1, 'период': 1, 'практически': 1, 'открытую': 1, 'поддерживал': 1, 'у': 1, 'нас': 1, 'сепаратизм': 1, 'даже': 1, 'прямой': 1, 'террор': 1});Counter({'теперь': 1, 'вот': 1, 'без': 1, 'всякого': 1, 'смущения': 1, 'заявляют': 1, 'что': 1, 'россия': 1, 'якобы': 1, 'намеревается': 1, 'напасть': 1, 'на': 1, 'европу': 1})
93;Называл убийц, у которых были руки по локоть в крови, не иначе как повстанцами, принимал их на самом высоком уровне.;Просто – мы же с вами понимаем – несут бред какой-то.;Counter({'называл': 1, 'убийц': 1, 'у': 1, 'которых': 1, 'были': 1, 'руки': 1, 'по': 1, 'локоть': 1, 'в': 1, 'крови': 1, 'не': 1, 'иначе': 1, 'как': 1, 'повстанцами': 1, 'принимал': 1, 'их': 1, 'на': 1, 'самом': 1, 'высоком': 1, 'уровне': 1});Counter({'просто': 1, 'мы': 1, 'же': 1, 'с': 1, 'вами': 1, 'понимаем': 1, 'несут': 1, 'бред': 1})
94;"Вот сейчас эти ""повстанцы"" опять проявили себя в Чечне.";А при этом сами выбирают цели для нанесения ударов по нашей территории, выбирают наиболее эффективные, как они думают, средства поражения.;Counter({'вот': 1, 'сейчас': 1, 'эти': 1, 'повстанцы': 1, 'опять': 1, 'проявили': 1, 'себя': 1, 'в': 1, 'чечне': 1});Counter({'выбирают': 2, 'а': 1, 'при': 1, 'этом': 1, 'сами': 1, 'цели': 1, 'для': 1, 'нанесения': 1, 'ударов': 1, 'по': 1, 'нашей': 1, 'территории': 1, 'наиболее': 1, 'эффективные': 1, 'как': 1, 'они': 1, 'думают': 1, 'средства': 1, 'поражения': 1})
95;Уверен, местные ребята, местные правоохранительные органы достойно справятся.;Заговорили о возможности отправки на Украину натовских военных контингентов.;Counter({'местные': 2, 'уверен': 1, 'ребята': 1, 'правоохранительные': 1, 'органы': 1, 'достойно': 1, 'справятся': 1});Counter({'заговорили': 1, 'о': 1, 'возможности': 1, 'отправки': 1, 'на': 1, 'украину': 1, 'натовских': 1, 'военных': 1, 'контингентов': 1})
96;Именно они сегодня работают по ликвидации очередной вылазки террористов.;Но мы помним судьбу тех, кто направлял когда-то свои контингенты на территорию нашей страны.;Counter({'именно': 1, 'они': 1, 'сегодня': 1, 'работают': 1, 'по': 1, 'ликвидации': 1, 'очередной': 1, 'вылазки': 1, 'террористов': 1});Counter({'но': 1, 'мы': 1, 'помним': 1, 'судьбу': 1, 'тех': 1, 'кто': 1, 'направлял': 1, 'свои': 1, 'контингенты': 1, 'на': 1, 'территорию': 1, 'нашей': 1, 'страны': 1})
97;Поддержим их.;Но теперь последствия для возможных интервентов будут гораздо более трагичными.;Counter({'поддержим': 1, 'их': 1});Counter({'но': 1, 'теперь': 1, 'последствия': 1, 'для': 1, 'возможных': 1, 'интервентов': 1, 'будут': 1, 'гораздо': 1, 'более': 1, 'трагичными': 1})
98;(Аплодисменты.);Они должны в конце концов понимать, что у нас тоже есть оружие – да знают об этом, только что сказал, – которое может поражать цели на их территории.;Counter({'аплодисменты': 1});Counter({'что': 2, 'они': 1, 'должны': 1, 'в': 1, 'конце': 1, 'концов': 1, 'понимать': 1, 'у': 1, 'нас': 1, 'тоже': 1, 'есть': 1, 'оружие': 1, 'да': 1, 'знают': 1, 'об': 1, 'этом': 1, 'только': 1, 'сказал': 1, 'которое': 1, 'может': 1, 'поражать': 1, 'цели': 1, 'на': 1, 'их': 1, 'территории': 1})
99;Но ещё раз скажу, мы помним, как в высоких коридорах, на высоком уровне принимали террористов как борцов за свободу и демократию.;И всё, что они придумывают сейчас, чем пугают весь мир, что всё это реально грозит конфликтом с использованием ядерного оружия, а значит, уничтожением цивилизации – они чего, этого не понимают, что ли?;Counter({'как': 2, 'но': 1, 'ещё': 1, 'раз': 1, 'скажу': 1, 'мы': 1, 'помним': 1, 'в': 1, 'высоких': 1, 'коридорах': 1, 'на': 1, 'высоком': 1, 'уровне': 1, 'принимали': 1, 'террористов': 1, 'борцов': 1, 'за': 1, 'свободу': 1, 'и': 1, 'демократию': 1});Counter({'что': 3, 'всё': 2, 'они': 2, 'и': 1, 'придумывают': 1, 'сейчас': 1, 'чем': 1, 'пугают': 1, 'весь': 1, 'мир': 1, 'это': 1, 'реально': 1, 'грозит': 1, 'конфликтом': 1, 'с': 1, 'использованием': 1, 'ядерного': 1, 'оружия': 1, 'а': 1, 'значит': 1, 'уничтожением': 1, 'цивилизации': 1, 'чего': 1, 'этого': 1, 'не': 1, 'понимают': 1, 'ли': 1})
100;Уже тогда стало ясно, что чем больше мы отступаем и оправдываемся, тем больше наши оппоненты наглеют и ведут себя всё более цинично и агрессивно.;Это, знаете, люди, которые не прошли через тяжёлые испытания – они уже забыли, что такое война.;Counter({'и': 3, 'больше': 2, 'уже': 1, 'тогда': 1, 'стало': 1, 'ясно': 1, 'что': 1, 'чем': 1, 'мы': 1, 'отступаем': 1, 'оправдываемся': 1, 'тем': 1, 'наши': 1, 'оппоненты': 1, 'наглеют': 1, 'ведут': 1, 'себя': 1, 'всё': 1, 'более': 1, 'цинично': 1, 'агрессивно': 1});Counter({'это': 1, 'знаете': 1, 'люди': 1, 'которые': 1, 'не': 1, 'прошли': 1, 'через': 1, 'тяжёлые': 1, 'испытания': 1, 'они': 1, 'уже': 1, 'забыли': 1, 'что': 1, 'такое': 1, 'война': 1})
101;Несмотря на нашу беспрецедентную открытость тогда, готовность к сотрудничеству по самым, казалось бы, острым вопросам, несмотря на то, что мы рассматривали, все вы об этом знаете и помните, наших вчерашних противников как близких друзей и почти союзников, поддержка сепаратизма в России из-за бугра - и информационная, и политическая, и финансовая, и по линии спецслужб - была абсолютно очевидной и не оставляла сомнений в том, что нас с удовольствием пустили бы по югославскому сценарию распада и расчленения со всеми вытекающими отсюда трагическими последствиями для народов России.;Мы, даже наше сегодняшнее поколение, прошли через такие тяжёлые испытания во время борьбы с международным терроризмом на Кавказе, сейчас – в условиях конфликта на Украине – то же самое происходит.;Counter({'и': 8, 'по': 3, 'несмотря': 2, 'на': 2, 'бы': 2, 'что': 2, 'в': 2, 'россии': 2, 'нашу': 1, 'беспрецедентную': 1, 'открытость': 1, 'тогда': 1, 'готовность': 1, 'к': 1, 'сотрудничеству': 1, 'самым': 1, 'казалось': 1, 'острым': 1, 'вопросам': 1, 'то': 1, 'мы': 1, 'рассматривали': 1, 'все': 1, 'вы': 1, 'об': 1, 'этом': 1, 'знаете': 1, 'помните': 1, 'наших': 1, 'вчерашних': 1, 'противников': 1, 'как': 1, 'близких': 1, 'друзей': 1, 'почти': 1, 'союзников': 1, 'поддержка': 1, 'сепаратизма': 1, 'бугра': 1, 'информационная': 1, 'политическая': 1, 'финансовая': 1, 'линии': 1, 'спецслужб': 1, 'была': 1, 'абсолютно': 1, 'очевидной': 1, 'не': 1, 'оставляла': 1, 'сомнений': 1, 'том': 1, 'нас': 1, 'с': 1, 'удовольствием': 1, 'пустили': 1, 'югославскому': 1, 'сценарию': 1, 'распада': 1, 'расчленения': 1, 'со': 1, 'всеми': 1, 'вытекающими': 1, 'отсюда': 1, 'трагическими': 1, 'последствиями': 1, 'для': 1, 'народов': 1});Counter({'на': 2, 'мы': 1, 'даже': 1, 'наше': 1, 'сегодняшнее': 1, 'поколение': 1, 'прошли': 1, 'через': 1, 'такие': 1, 'тяжёлые': 1, 'испытания': 1, 'во': 1, 'время': 1, 'борьбы': 1, 'с': 1, 'международным': 1, 'терроризмом': 1, 'кавказе': 1, 'сейчас': 1, 'в': 1, 'условиях': 1, 'конфликта': 1, 'украине': 1, 'то': 1, 'же': 1, 'самое': 1, 'происходит': 1})
102;Не вышло.;А они думают, что для них это всё мультики какие-то.;Counter({'не': 1, 'вышло': 1});Counter({'а': 1, 'они': 1, 'думают': 1, 'что': 1, 'для': 1, 'них': 1, 'это': 1, 'всё': 1, 'мультики': 1})
103;Мы не позволили.;Чего сказать, действительно, русофобия, как и другая идеология расизма, национального превосходства и исключительности, ослепляет, лишает разума.;Counter({'мы': 1, 'не': 1, 'позволили': 1});Counter({'и': 2, 'чего': 1, 'сказать': 1, 'действительно': 1, 'русофобия': 1, 'как': 1, 'другая': 1, 'идеология': 1, 'расизма': 1, 'национального': 1, 'превосходства': 1, 'исключительности': 1, 'ослепляет': 1, 'лишает': 1, 'разума': 1})
